WebSocket LTT (ms): 1753243456105 | Human: 09:34:16.105 | LTP: 338.45 | Latency: 447ms | Socket Timing :09:34:16.105 | Current Timing :09:34:16.552
WebSocket LTT (ms): 1753243455910 | Human: 09:34:15.910 | LTP: 394.8 | Latency: 644ms | Socket Timing :09:34:15.910 | Current Timing :09:34:16.554
WebSocket LTT (ms): 1753243456211 | Human: 09:34:16.211 | LTP: 441.85 | Latency: 345ms | Socket Timing :09:34:16.211 | Current Timing :09:34:16.556
WebSocket LTT (ms): 1753243455949 | Human: 09:34:15.949 | LTP: 298.0 | Latency: 610ms | Socket Timing :09:34:15.949 | Current Timing :09:34:16.559
WebSocket LTT (ms): 1753243456105 | Human: 09:34:16.105 | LTP: 338.45 | Latency: 995ms | Socket Timing :09:34:16.105 | Current Timing :09:34:17.100
WebSocket LTT (ms): 1753243456725 | Human: 09:34:16.725 | LTP: 395.0 | Latency: 377ms | Socket Timing :09:34:16.725 | Current Timing :09:34:17.102
WebSocket LTT (ms): 1753243456211 | Human: 09:34:16.211 | LTP: 441.85 | Latency: 893ms | Socket Timing :09:34:16.211 | Current Timing :09:34:17.104
WebSocket LTT (ms): 1753243456730 | Human: 09:34:16.730 | LTP: 298.4 | Latency: 376ms | Socket Timing :09:34:16.730 | Current Timing :09:34:17.106
WebSocket LTT (ms): 1753243457066 | Human: 09:34:17.066 | LTP: 441.4 | Latency: 391ms | Socket Timing :09:34:17.066 | Current Timing :09:34:17.457
WebSocket LTT (ms): 1753243457221 | Human: 09:34:17.221 | LTP: 298.0 | Latency: 237ms | Socket Timing :09:34:17.221 | Current Timing :09:34:17.458
WebSocket LTT (ms): 1753243457352 | Human: 09:34:17.352 | LTP: 338.25 | Latency: 247ms | Socket Timing :09:34:17.352 | Current Timing :09:34:17.599
WebSocket LTT (ms): 1753243457219 | Human: 09:34:17.219 | LTP: 395.15 | Latency: 380ms | Socket Timing :09:34:17.219 | Current Timing :09:34:17.599
WebSocket LTT (ms): 1753243457467 | Human: 09:34:17.467 | LTP: 338.9 | Latency: 888ms | Socket Timing :09:34:17.467 | Current Timing :09:34:18.355
WebSocket LTT (ms): 1753243457628 | Human: 09:34:17.628 | LTP: 395.0 | Latency: 728ms | Socket Timing :09:34:17.628 | Current Timing :09:34:18.356
WebSocket LTT (ms): 1753243457316 | Human: 09:34:17.316 | LTP: 441.9 | Latency: 1041ms | Socket Timing :09:34:17.316 | Current Timing :09:34:18.357
WebSocket LTT (ms): 1753243457221 | Human: 09:34:17.221 | LTP: 298.0 | Latency: 1137ms | Socket Timing :09:34:17.221 | Current Timing :09:34:18.358
WebSocket LTT (ms): 1753243458041 | Human: 09:34:18.041 | LTP: 441.1 | Latency: 466ms | Socket Timing :09:34:18.041 | Current Timing :09:34:18.507
WebSocket LTT (ms): 1753243458171 | Human: 09:34:18.171 | LTP: 338.25 | Latency: 483ms | Socket Timing :09:34:18.171 | Current Timing :09:34:18.654
WebSocket LTT (ms): 1753243458053 | Human: 09:34:18.053 | LTP: 394.8 | Latency: 602ms | Socket Timing :09:34:18.053 | Current Timing :09:34:18.655
WebSocket LTT (ms): 1753243458379 | Human: 09:34:18.379 | LTP: 298.5 | Latency: 278ms | Socket Timing :09:34:18.379 | Current Timing :09:34:18.657
WebSocket LTT (ms): 1753243459122 | Human: 09:34:19.122 | LTP: 339.25 | Latency: 470ms | Socket Timing :09:34:19.122 | Current Timing :09:34:19.592
WebSocket LTT (ms): 1753243458996 | Human: 09:34:18.996 | LTP: 394.85 | Latency: 611ms | Socket Timing :09:34:18.996 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459122 | Human: 09:34:19.122 | LTP: 442.0 | Latency: 485ms | Socket Timing :09:34:19.122 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459124 | Human: 09:34:19.124 | LTP: 297.6 | Latency: 483ms | Socket Timing :09:34:19.124 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459122 | Human: 09:34:19.122 | LTP: 339.25 | Latency: 485ms | Socket Timing :09:34:19.122 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459277 | Human: 09:34:19.277 | LTP: 394.55 | Latency: 330ms | Socket Timing :09:34:19.277 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459122 | Human: 09:34:19.122 | LTP: 442.0 | Latency: 485ms | Socket Timing :09:34:19.122 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243459212 | Human: 09:34:19.212 | LTP: 297.85 | Latency: 395ms | Socket Timing :09:34:19.212 | Current Timing :09:34:19.607
WebSocket LTT (ms): 1753243460031 | Human: 09:34:20.031 | LTP: 442.0 | Latency: 418ms | Socket Timing :09:34:20.031 | Current Timing :09:34:20.449
WebSocket LTT (ms): 1753243460231 | Human: 09:34:20.231 | LTP: 296.75 | Latency: 218ms | Socket Timing :09:34:20.231 | Current Timing :09:34:20.449
WebSocket LTT (ms): 1753243460261 | Human: 09:34:20.261 | LTP: 340.0 | Latency: 596ms | Socket Timing :09:34:20.261 | Current Timing :09:34:20.857
WebSocket LTT (ms): 1753243460275 | Human: 09:34:20.275 | LTP: 393.55 | Latency: 582ms | Socket Timing :09:34:20.275 | Current Timing :09:34:20.857
WebSocket LTT (ms): 1753243460314 | Human: 09:34:20.314 | LTP: 296.15 | Latency: 543ms | Socket Timing :09:34:20.314 | Current Timing :09:34:20.857
WebSocket LTT (ms): 1753243460536 | Human: 09:34:20.536 | LTP: 443.1 | Latency: 321ms | Socket Timing :09:34:20.536 | Current Timing :09:34:20.857
WebSocket LTT (ms): 1753243461157 | Human: 09:34:21.157 | LTP: 443.15 | Latency: 342ms | Socket Timing :09:34:21.157 | Current Timing :09:34:21.499
WebSocket LTT (ms): 1753243461235 | Human: 09:34:21.235 | LTP: 296.8 | Latency: 266ms | Socket Timing :09:34:21.235 | Current Timing :09:34:21.501
WebSocket LTT (ms): 1753243461157 | Human: 09:34:21.157 | LTP: 339.9 | Latency: 495ms | Socket Timing :09:34:21.157 | Current Timing :09:34:21.652
WebSocket LTT (ms): 1753243461150 | Human: 09:34:21.150 | LTP: 392.9 | Latency: 502ms | Socket Timing :09:34:21.150 | Current Timing :09:34:21.652
WebSocket LTT (ms): 1753243461157 | Human: 09:34:21.157 | LTP: 339.9 | Latency: 634ms | Socket Timing :09:34:21.157 | Current Timing :09:34:21.791
WebSocket LTT (ms): 1753243461449 | Human: 09:34:21.449 | LTP: 394.0 | Latency: 342ms | Socket Timing :09:34:21.449 | Current Timing :09:34:21.791
WebSocket LTT (ms): 1753243461733 | Human: 09:34:21.733 | LTP: 442.75 | Latency: 341ms | Socket Timing :09:34:21.733 | Current Timing :09:34:22.074
WebSocket LTT (ms): 1753243461454 | Human: 09:34:21.454 | LTP: 297.5 | Latency: 620ms | Socket Timing :09:34:21.454 | Current Timing :09:34:22.074
WebSocket LTT (ms): 1753243462277 | Human: 09:34:22.277 | LTP: 340.2 | Latency: 277ms | Socket Timing :09:34:22.277 | Current Timing :09:34:22.554
WebSocket LTT (ms): 1753243462337 | Human: 09:34:22.337 | LTP: 393.65 | Latency: 219ms | Socket Timing :09:34:22.337 | Current Timing :09:34:22.556
WebSocket LTT (ms): 1753243462238 | Human: 09:34:22.238 | LTP: 443.95 | Latency: 318ms | Socket Timing :09:34:22.238 | Current Timing :09:34:22.556
WebSocket LTT (ms): 1753243461802 | Human: 09:34:21.802 | LTP: 297.55 | Latency: 754ms | Socket Timing :09:34:21.802 | Current Timing :09:34:22.556
WebSocket LTT (ms): 1753243462277 | Human: 09:34:22.277 | LTP: 340.2 | Latency: 709ms | Socket Timing :09:34:22.277 | Current Timing :09:34:22.986
WebSocket LTT (ms): 1753243462337 | Human: 09:34:22.337 | LTP: 393.65 | Latency: 649ms | Socket Timing :09:34:22.337 | Current Timing :09:34:22.986
WebSocket LTT (ms): 1753243462813 | Human: 09:34:22.813 | LTP: 444.0 | Latency: 514ms | Socket Timing :09:34:22.813 | Current Timing :09:34:23.327
WebSocket LTT (ms): 1753243462424 | Human: 09:34:22.424 | LTP: 297.05 | Latency: 906ms | Socket Timing :09:34:22.424 | Current Timing :09:34:23.330
WebSocket LTT (ms): 1753243462813 | Human: 09:34:22.813 | LTP: 444.0 | Latency: 643ms | Socket Timing :09:34:22.813 | Current Timing :09:34:23.456
WebSocket LTT (ms): 1753243463173 | Human: 09:34:23.173 | LTP: 297.4 | Latency: 285ms | Socket Timing :09:34:23.173 | Current Timing :09:34:23.458
WebSocket LTT (ms): 1753243463112 | Human: 09:34:23.112 | LTP: 339.15 | Latency: 486ms | Socket Timing :09:34:23.112 | Current Timing :09:34:23.598
WebSocket LTT (ms): 1753243463235 | Human: 09:34:23.235 | LTP: 394.25 | Latency: 364ms | Socket Timing :09:34:23.235 | Current Timing :09:34:23.599
WebSocket LTT (ms): 1753243463864 | Human: 09:34:23.864 | LTP: 338.7 | Latency: 336ms | Socket Timing :09:34:23.864 | Current Timing :09:34:24.200
WebSocket LTT (ms): 1753243463235 | Human: 09:34:23.235 | LTP: 394.25 | Latency: 966ms | Socket Timing :09:34:23.235 | Current Timing :09:34:24.201
WebSocket LTT (ms): 1753243463990 | Human: 09:34:23.990 | LTP: 443.3 | Latency: 583ms | Socket Timing :09:34:23.990 | Current Timing :09:34:24.573
WebSocket LTT (ms): 1753243463897 | Human: 09:34:23.897 | LTP: 297.05 | Latency: 676ms | Socket Timing :09:34:23.897 | Current Timing :09:34:24.573
WebSocket LTT (ms): 1753243463990 | Human: 09:34:23.990 | LTP: 443.3 | Latency: 583ms | Socket Timing :09:34:23.990 | Current Timing :09:34:24.573
WebSocket LTT (ms): 1753243463897 | Human: 09:34:23.897 | LTP: 297.05 | Latency: 676ms | Socket Timing :09:34:23.897 | Current Timing :09:34:24.573
WebSocket LTT (ms): 1753243463864 | Human: 09:34:23.864 | LTP: 338.7 | Latency: 771ms | Socket Timing :09:34:23.864 | Current Timing :09:34:24.635
WebSocket LTT (ms): 1753243464260 | Human: 09:34:24.260 | LTP: 393.15 | Latency: 391ms | Socket Timing :09:34:24.260 | Current Timing :09:34:24.651
WebSocket LTT (ms): 1753243465113 | Human: 09:34:25.113 | LTP: 340.45 | Latency: 277ms | Socket Timing :09:34:25.113 | Current Timing :09:34:25.390
WebSocket LTT (ms): 1753243464526 | Human: 09:34:24.526 | LTP: 394.25 | Latency: 864ms | Socket Timing :09:34:24.526 | Current Timing :09:34:25.390
WebSocket LTT (ms): 1753243465199 | Human: 09:34:25.199 | LTP: 340.6 | Latency: 608ms | Socket Timing :09:34:25.199 | Current Timing :09:34:25.807
