WebSocket LTT (ms): 1753242310241 | Human: 09:15:10.241 | LTP: 413.85 | Latency: 418ms | Socket Timing :09:15:10.241 | Current Timing :09:15:10.659
WebSocket LTT (ms): 1753242310470 | Human: 09:15:10.470 | LTP: 420.3 | Latency: 189ms | Socket Timing :09:15:10.470 | Current Timing :09:15:10.659
WebSocket LTT (ms): 1753242310302 | Human: 09:15:10.302 | LTP: 318.95 | Latency: 372ms | Socket Timing :09:15:10.302 | Current Timing :09:15:10.674
WebSocket LTT (ms): 1753242310600 | Human: 09:15:10.600 | LTP: 320.35 | Latency: 201ms | Socket Timing :09:15:10.600 | Current Timing :09:15:10.801
WebSocket LTT (ms): 1753242310523 | Human: 09:15:10.523 | LTP: 419.0 | Latency: 278ms | Socket Timing :09:15:10.523 | Current Timing :09:15:10.801
WebSocket LTT (ms): 1753242310579 | Human: 09:15:10.579 | LTP: 315.75 | Latency: 222ms | Socket Timing :09:15:10.579 | Current Timing :09:15:10.801
WebSocket LTT (ms): 1753242310690 | Human: 09:15:10.690 | LTP: 318.9 | Latency: 267ms | Socket Timing :09:15:10.690 | Current Timing :09:15:10.957
WebSocket LTT (ms): 1753242310720 | Human: 09:15:10.720 | LTP: 417.65 | Latency: 237ms | Socket Timing :09:15:10.720 | Current Timing :09:15:10.957
WebSocket LTT (ms): 1753242311620 | Human: 09:15:11.620 | LTP: 413.5 | Latency: 247ms | Socket Timing :09:15:11.620 | Current Timing :09:15:11.867
WebSocket LTT (ms): 1753242311679 | Human: 09:15:11.679 | LTP: 420.05 | Latency: 188ms | Socket Timing :09:15:11.679 | Current Timing :09:15:11.867
WebSocket LTT (ms): 1753242311661 | Human: 09:15:11.661 | LTP: 313.85 | Latency: 206ms | Socket Timing :09:15:11.661 | Current Timing :09:15:11.867
WebSocket LTT (ms): 1753242311822 | Human: 09:15:11.822 | LTP: 318.75 | Latency: 187ms | Socket Timing :09:15:11.822 | Current Timing :09:15:12.009
WebSocket LTT (ms): 1753242311626 | Human: 09:15:11.626 | LTP: 412.15 | Latency: 383ms | Socket Timing :09:15:11.626 | Current Timing :09:15:12.009
WebSocket LTT (ms): 1753242312371 | Human: 09:15:12.371 | LTP: 424.85 | Latency: 390ms | Socket Timing :09:15:12.371 | Current Timing :09:15:12.761
WebSocket LTT (ms): 1753242312581 | Human: 09:15:12.581 | LTP: 312.6 | Latency: 180ms | Socket Timing :09:15:12.581 | Current Timing :09:15:12.761
WebSocket LTT (ms): 1753242312708 | Human: 09:15:12.708 | LTP: 323.4 | Latency: 195ms | Socket Timing :09:15:12.708 | Current Timing :09:15:12.903
WebSocket LTT (ms): 1753242312690 | Human: 09:15:12.690 | LTP: 413.55 | Latency: 213ms | Socket Timing :09:15:12.690 | Current Timing :09:15:12.903
WebSocket LTT (ms): 1753242312788 | Human: 09:15:12.788 | LTP: 413.95 | Latency: 272ms | Socket Timing :09:15:12.788 | Current Timing :09:15:13.060
WebSocket LTT (ms): 1753242312880 | Human: 09:15:12.880 | LTP: 417.75 | Latency: 180ms | Socket Timing :09:15:12.880 | Current Timing :09:15:13.060
WebSocket LTT (ms): 1753242312872 | Human: 09:15:12.872 | LTP: 317.4 | Latency: 188ms | Socket Timing :09:15:12.872 | Current Timing :09:15:13.060
WebSocket LTT (ms): 1753242312933 | Human: 09:15:12.933 | LTP: 316.0 | Latency: 268ms | Socket Timing :09:15:12.933 | Current Timing :09:15:13.201
WebSocket LTT (ms): 1753242313533 | Human: 09:15:13.533 | LTP: 425.85 | Latency: 390ms | Socket Timing :09:15:13.533 | Current Timing :09:15:13.923
